ts,buy,price,amount,trade_no
2024-01-01T00:00:00Z,true,40000,100,buy_q1_1
2024-01-01T01:00:00Z,false,40500,90,sell_q1_1
2024-04-01T00:00:00Z,true,45000,120,buy_q2_1
2024-04-01T01:00:00Z,false,45500,110,sell_q2_1
2024-07-01T00:00:00Z,true,50000,130,buy_q3_1
2024-07-01T01:00:00Z,false,50500,120,sell_q3_1
2024-10-01T00:00:00Z,true,55000,140,buy_q4_1
2024-10-01T01:00:00Z,false,55500,130,sell_q4_1
2024-12-31T23:00:00Z,true,60000,150,buy_year_1
2024-12-31T23:15:00Z,false,60500,140,sell_year_1
2024-12-31T23:30:00Z,true,61000,160,buy_year_2
2024-12-31T23:45:00Z,false,61500,150,sell_year_2
2025-01-01T00:00:00Z,true,62000,170,buy_year_3
2025-01-01T00:15:00Z,false,62500,160,sell_year_3
2025-01-01T00:30:00Z,true,63000,180,buy_year_4
2025-01-01T00:45:00Z,false,63500,170,sell_year_4
2025-03-01T00:00:00Z,true,65000,190,buy_q1_25_1
2025-03-01T01:00:00Z,false,65500,180,sell_q1_25_1
